Logic,CVC4,Alt-Ergo
QF-IDL,0.02,0.01
QF-IDL,0.07,0.03
QF-IDL,0.01,0.01
QF-IDL,0.03,0.72
QF-IDL,0.04,0.99
QF-IDL,0.08,13.29
QF-IDL,0.15,0.39
QF-IDL,0.29,0.74
QF-IDL,0.32,1.55
QF-IDL,0.47,3.08
QF-IDL,2.32,7.45
QF-UFLIA,0.04,0.01
QF-UFLIA,0.05,0.01
QF-UFLIA,0.05,0.01
QF-UFLIA,0.06,0.01
QF-UFLIA,0.07,0.01
QF-UFLIA,0.02,0.02
QF-UFLIA,0.17,3.63
QF-UFLIA,0.18,4.03
QF-UFLIA,0.27,8.34
QF-UFLIA,0.52,19.91
QF-UFLIA,0.54,19.82
QF-UF,0.05,0.48
QF-UF,0.06,0.78
QF-UF,0.06,1.11
QF-UF,0.06,2.55
QF-UF,0.06,3.86
QF-UF,0.06,7.3
QF-UF,0.06,7.82
QF-UF,0.07,1.09
QF-UF,0.07,1.36
QF-UF,0.07,1.76
QF-UF,0.07,2.95
QF-UF,0.07,3.66
QF-UF,0.07,4.85
QF-UF,0.07,5.27
QF-UF,0.07,6.25
QF-UF,0.07,9.23
QF-UF,0.08,0.46
QF-UF,0.08,19.93
QF-UF,0.08,2.9
QF-UF,0.08,3.13
QF-UF,0.08,3.18
QF-UF,0.08,3.53
QF-UF,0.08,3.61
QF-UF,0.08,5.63
QF-UF,0.08,6.21
QF-UF,0.08,6.33
QF-UF,0.08,6.87
QF-UF,0.08,7.47
QF-UF,0.08,7.81
QF-UF,0.08,9.95
QF-UF,0.09,10.44
QF-UF,0.09,1.05
QF-UF,0.09,11.45
QF-UF,0.09,12.25
QF-UF,0.09,13.05
QF-UF,0.09,2.09
QF-UF,0.09,2.62
QF-UF,0.09,27.62
QF-UF,0.09,2
QF-UF,0.09,5.71
QF-UF,0.09,7.79
QF-UF,0.09,8.28
QF-UF,0.09,8.4
QF-UF,0.09,9.94
QF-UF,0.11,11.96
QF-UF,0.11,17.5
QF-UF,0.11,21.03
QF-UF,0.11,23.1
QF-UF,0.11,23.87
QF-UF,0.11,25.39
QF-UF,0.11,28.32
QF-UF,0.11,5.34
QF-UF,0.11,8.23
QF-UF,0.11,8.47
QF-UF,0.12,16.89
QF-UF,0.13,19.85
QF-UF,0.13,2.54
QF-UF,0.16,1.28
QF-UF,0.1,15.42
QF-UF,0.1,22.35
QF-UF,0.1,23.13
QF-UF,0.1,23.92
QF-UF,0.1,24.68
QF-UF,0.1,25.3
QF-UF,0.1,2.84
QF-UF,0.1,4.69
QF-UF,0.1,6.69
QF-UF,0.1,7.2
QF-UF,0.1,7.82
QF-UF,0.2,27.57
QF-UF,0,0.01
UFNIA,0.07,0.01
UFNIA,0.15,0.02
UFNIA,0.15,0.03
UFNIA,0.16,0.05
UFNIA,0.18,0.07
UFNIA,0.18,0.08
UFNIA,0.19,0.06
UFNIA,0.19,0.06
UFNIA,0.19,0.06
UFNIA,0.19,0.07
UFNIA,0.19,0.07
UFNIA,0.19,0.07
UFNIA,0.19,0.07
UFNIA,0.19,0.07
UFNIA,0.19,0.07
UFNIA,0.19,0.08
UFNIA,0.19,0.08
UFNIA,0.19,0.08
UFNIA,0.19,0.09
UFNIA,0.19,0.11
UFNIA,0.19,0.12
UFNIA,0.19,0.12
UFNIA,0.1,0.03
UFNIA,0.24,0.06
UFNIA,0.24,0.07
UFNIA,0.24,0.08
UFNIA,0.24,0.08
UFNIA,0.24,0.08
UFNIA,0.24,0.08
UFNIA,0.24,0.08
UFNIA,0.24,0.08
UFNIA,0.24,0.08
UFNIA,0.24,0.09
UFNIA,0.25,0.06
UFNIA,0.25,0.06
UFNIA,0.25,0.07
UFNIA,0.25,0.07
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.08
UFNIA,0.25,0.09
UFNIA,0.25,0.09
UFNIA,0.25,0.09
UFNIA,0.25,0.09
UFNIA,0.25,0.09
UFNIA,0.25,0.09
UFNIA,0.25,0.11
UFNIA,0.25,0.11
UFNIA,0.25,0.11
UFNIA,0.25,0.11
UFNIA,0.25,0.12
UFNIA,0.25,0.12
UFNIA,0.25,0.13
UFNIA,0.25,0.14
UFNIA,0.25,0.14
UFNIA,0.25,0.1
UFNIA,0.25,0.1
UFNIA,0.25,0.1
UFNIA,0.26,0.06
UFNIA,0.26,0.07
UFNIA,0.26,0.07
UFNIA,0.26,0.08
UFNIA,0.26,0.08
UFNIA,0.26,0.08
UFNIA,0.26,0.08
UFNIA,0.26,0.08
UFNIA,0.26,0.08
UFNIA,0.26,0.09
UFNIA,0.26,0.09
UFNIA,0.26,0.11
UFNIA,0.26,0.12
UFNIA,0.26,0.12
UFNIA,0.26,0.1
UFNIA,0.26,0.1
UFNIA,0.27,0.09
UFNIA,0.2,0.07
UFNIA,0.2,0.08
UFNIA,0.2,0.08
UFNIA,0.2,0.09
UFNIA,0.2,0.11
UFNIA,0.2,0.11
UFNIA,0.61,0.09
UFNIA,0.61,0.43
UFNIA,0.61,0.43
UFNIA,0.61,0.5
UFNIA,0.62,0.42
UFNIA,0.62,0.43
UFNIA,0.63,0.08
UFNIA,0.6,0.07
UFNIA,0.6,0.09
UFNIA,0.6,0.09
UFNIA,0.6,0.44
UFNIA,0.6,0.5
UFNIA,0.98,0.21
UFNIA,0.98,0.21
UFNIA,1.3,0.62
UFNIA,0.11,0.15
UFNIA,0.12,0.15
UFNIA,0.12,0.25
UFNIA,0.12,0.25
UFNIA,0.12,0.26
UFNIA,0.12,0.26
UFNIA,0.12,0.83
UFNIA,0.19,0.2
UFNIA,0.24,0.82
UFNIA,0.38,1.03
UFNIA,0.38,4.95
UFNIA,0.46,7.71
UFNIA,0.46,8.87
UFNIA,0.49,14
UFNIA,0.52,2.37
UFNIA,0.53,1.31
UFNIA,0.53,2.39
UFNIA,0.61,1.72
UFNIA,1.17,12.56
UFNIA,1.18,16.72
UFNIA,1.19,15.15
UFNIA,1.19,15.19
UFNIA,1.19,15.26
UFNIA,1.19,20.07
UFNIA,1.23,13.96
UFNIA,1.24,16.1
UFNIA,1.25,8
UFNIA,1.26,8.15
UFNIA,1.27,16.23
UFNIA,1.27,26.16
UFNIA,1.2,16.13
UFNIA,1.31,25.29
UFNIA,1.33,8.64
UFNIA,1.3,8.87
UFNIA,1.47,5.25
UFNIA,1.55,2.87
UFNIA,1.58,3.13
UFNIA,1.64,13.97
UFNIA,1.7,25.88
UFNIA,1.81,13.97
UFNIA,2.16,26.23
UFNIA,2.18,28.3
UFNIA,2.78,13.42
INDUCTION,0,0
INDUCTION,0,0
INDUCTION,138.3561644,2.6
INDUCTION,88.59649123,4.666666667
INDUCTION,60.84337349,2.733333333
INDUCTION,0.666666667,0.466666667
INDUCTION,12.68844221,3.866666667
INDUCTION,0.8,1.133333333
INDUCTION,0.8,1.2
INDUCTION,0.866666667,0.866666667
INDUCTION,0.866666667,4.2
INDUCTION,0.866666667,5.8
INDUCTION,1,0
INDUCTION,1,0.933333333
INDUCTION,1,0.333333333
INDUCTION,1.066666667,0
INDUCTION,1.066666667,1.133333333
INDUCTION,1.2,0.866666667
INDUCTION,1.2,0.6
INDUCTION,1.266666667,12.67252196
INDUCTION,1.266666667,0.4
INDUCTION,1.266666667,6.533333333
INDUCTION,1.466666667,15.53846154
INDUCTION,1.533333333,0
INDUCTION,1.6,10.30612245
INDUCTION,1.666666667,0
INDUCTION,1.8,2.933333333
INDUCTION,1.933333333,0
INDUCTION,2.133333333,18.87850467
INDUCTION,0.266666667,0
INDUCTION,0.266666667,0
INDUCTION,3.2,4.533333333
INDUCTION,4.066666667,8.285479902
INDUCTION,4.066666667,11.05032823
INDUCTION,4.266666667,5.333333333
INDUCTION,4.533333333,5.133333333
INDUCTION,4.666666667,27.74725275
INDUCTION,0.466666667,2.333333333
INDUCTION,5.933333333,4.933333333
INDUCTION,0.6,1
